1.0.0.230#哥斯达黎加-圣荷西 558ms
104.16.11.156#哥斯达黎加-圣荷西 172ms
1.1.1.91#哥斯达黎加-圣荷西 879ms
104.16.12.169#哥斯达黎加-圣荷西 494ms
104.16.8.151#哥斯达黎加-圣荷西 589ms
104.16.6.217#哥斯达黎加-圣荷西 594ms
104.16.1.164#哥斯达黎加-圣荷西 609ms
66.235.200.118#哥斯达黎加-圣荷西 610ms
104.16.62.38#哥斯达黎加-圣荷西 156ms
104.16.5.15#哥斯达黎加-圣荷西 643ms
104.16.9.237#哥斯达黎加-圣荷西 694ms
104.16.4.101#哥斯达黎加-圣荷西 691ms
104.16.3.179#哥斯达黎加-圣荷西 624ms
104.16.37.75#中国香港-香港 174ms
104.16.34.24#中国香港-香港 194ms
104.16.39.29#中国香港-香港 195ms
104.16.46.161#中国香港-香港 194ms
104.16.32.100#中国香港-香港 195ms
104.16.33.102#中国香港-香港 194ms
104.16.40.136#中国香港-香港 194ms
104.16.41.195#中国香港-香港 209ms
104.16.47.113#中国香港-香港 208ms
104.16.44.106#中国香港-香港 208ms
23.227.38.68#哥斯达黎加-圣荷西 692ms
104.16.42.220#中国香港-香港 231ms
104.16.45.196#中国香港-香港 230ms
104.16.0.99#哥斯达黎加-圣荷西 714ms
103.21.244.252#哥斯达黎加-圣荷西 791ms
23.227.39.165#哥斯达黎加-圣荷西 841ms
104.16.115.29#美国-洛杉矶 161ms
104.16.113.249#美国-洛杉矶 161ms
104.16.116.98#美国-洛杉矶 169ms
104.16.114.190#美国-洛杉矶 166ms
104.16.112.20#美国-洛杉矶 168ms
104.16.121.220#美国-洛杉矶 147ms
104.16.123.129#美国-洛杉矶 147ms
104.16.118.246#美国-洛杉矶 168ms
104.16.117.217#美国-洛杉矶 180ms
104.16.10.155#哥斯达黎加-圣荷西 952ms
104.16.7.52#哥斯达黎加-圣荷西 952ms
104.16.124.184#美国-洛杉矶 173ms
104.16.126.205#美国-洛杉矶 164ms
104.16.125.65#美国-洛杉矶 182ms
104.16.13.93#哥斯达黎加-圣荷西 794ms
104.16.127.13#美国-洛杉矶 183ms
104.16.82.15#哥斯达黎加-圣荷西 633ms
104.16.49.12#哥斯达黎加-圣荷西 664ms
104.16.63.87#哥斯达黎加-圣荷西 635ms
104.16.60.141#哥斯达黎加-圣荷西 674ms
104.16.17.121#哥斯达黎加-圣荷西 671ms
104.16.78.158#哥斯达黎加-圣荷西 623ms
104.16.93.73#哥斯达黎加-圣荷西 631ms
104.16.14.165#哥斯达黎加-圣荷西 859ms
104.16.86.143#哥斯达黎加-圣荷西 701ms
104.16.48.78#哥斯达黎加-圣荷西 702ms
104.16.20.53#哥斯达黎加-圣荷西 636ms
104.16.83.58#哥斯达黎加-圣荷西 649ms
104.16.50.232#哥斯达黎加-圣荷西 652ms
104.16.72.132#哥斯达黎加-圣荷西 736ms
104.16.16.151#哥斯达黎加-圣荷西 642ms
104.16.87.230#哥斯达黎加-圣荷西 663ms
104.16.26.86#哥斯达黎加-圣荷西 747ms
104.16.96.226#哥斯达黎加-圣荷西 695ms
104.16.25.49#哥斯达黎加-圣荷西 698ms
104.16.29.152#哥斯达黎加-圣荷西 616ms
104.16.85.112#哥斯达黎加-圣荷西 663ms
104.16.56.212#哥斯达黎加-圣荷西 771ms
104.16.80.215#哥斯达黎加-圣荷西 720ms
104.16.71.213#哥斯达黎加-圣荷西 736ms
104.16.52.245#哥斯达黎加-圣荷西 721ms
104.16.66.46#哥斯达黎加-圣荷西 740ms
104.16.23.30#哥斯达黎加-圣荷西 738ms
104.16.84.70#哥斯达黎加-圣荷西 736ms
104.16.95.177#哥斯达黎加-圣荷西 738ms
104.16.75.125#哥斯达黎加-圣荷西 737ms
104.16.89.10#哥斯达黎加-圣荷西 804ms
104.16.15.13#哥斯达黎加-圣荷西 769ms
104.16.58.48#哥斯达黎加-圣荷西 767ms
104.16.108.64#哥斯达黎加-圣荷西 627ms
104.16.79.160#哥斯达黎加-圣荷西 825ms
104.16.90.137#哥斯达黎加-圣荷西 834ms
104.16.31.64#哥斯达黎加-圣荷西 836ms
104.16.67.208#哥斯达黎加-圣荷西 779ms
104.16.21.135#哥斯达黎加-圣荷西 836ms
104.16.54.148#哥斯达黎加-圣荷西 839ms
104.16.88.189#哥斯达黎加-圣荷西 860ms
104.16.53.223#哥斯达黎加-圣荷西 804ms
104.16.27.202#哥斯达黎加-圣荷西 810ms
104.16.68.182#哥斯达黎加-圣荷西 847ms
104.16.61.197#哥斯达黎加-圣荷西 847ms
